ID,decimalLongitude,decimalLatitude,Log.S.AllGrp,landsdele,Geology,NatDensBasMp,Dis2Cost,HII,Slope30mAgg,PrecSea
64,12.45141793,54.96752392,2.357934847,Sjælland,Freshwater deposits,0.6196,870.278,20.36,1.732,20
65,12.45526794,54.9606333,2.372912003,Sjælland,Freshwater deposits,0.6196,870.278,20.36,1.968,20
66,12.50972317,54.96462732,2.675778342,Sjælland,Chalk,0.8808,2238.438,20.87,7.051,20
67,12.52658146,54.98604161,2.63447727,Sjælland,Glaciofluvial,0.7041,918.747,14,7.761,19.6
68,12.5389131,54.97290273,2.374748346,Sjælland,Chalk,0.9695,303.628,14,6.025,18
69,12.53898781,54.96620118,2.434568904,Sjælland,Chalk,0.8288,496.262,14,7.354,18.86
70,12.53900706,54.98049301,2.505149978,Sjælland,Chalk,0.9647,19.253,17,6.874,18
71,8.080258493,55.56292804,2.424881637,Syddanmark,Aeolian sand,0.974,346.919,17,2.093,30
72,8.128703025,56.31348114,2.292256071,Midtjylland,Aeolian sand,0.9555,479.546,23.98,1.124,31
73,8.136246233,56.22776563,2.264817823,Midtjylland,Marine sand and clay,0.8233,22.817,17.5,1.45,31
74,8.162359036,56.31803006,2.540329475,Midtjylland,Marsh,0.2058,1047.255,34,0.992,31
75,8.169670368,55.68438777,2.255272505,Syddanmark,Aeolian sand,0.926,1394.052,22,1.934,30
77,8.182877548,55.77354752,2.387389826,Syddanmark,Marine sand and clay,0.9961,587.997,18,2.867,30.16
78,8.19077075,55.69423108,2.460897843,Syddanmark,Aeolian sand,0.9083,2056.627,23.11,1.383,30
79,8.195221696,56.29494446,2.08278537,Midtjylland,Glaciofluvial,0.3252,2523.196,34,1.183,31
80,8.21282134,55.79507754,2.238046103,Syddanmark,Aeolian sand,0.8603,2577.43,34.8,2.087,30
81,8.216409166,55.6726212,2.440909082,Syddanmark,Aeolian sand,0.5966,4832.717,24.15,1.556,30
82,8.241796699,55.67383734,2.551449998,Syddanmark,Freshwater deposits,0.3419,5505.385,30,2.03,30
83,8.372399908,56.17065017,2.598790507,Midtjylland,Glaciofluvial,0.9328,12327.822,28.75,2.499,30
84,8.378025751,56.16754556,2.432969291,Midtjylland,Freshwater deposits,0.9328,11544.149,18.83,1.245,30
85,8.388856329,56.16729257,2.622214023,Midtjylland,Freshwater deposits,0.9837,12202.018,18,1.965,30
86,8.493946977,56.2452577,2.26245109,Midtjylland,Glaciofluvial,0.9528,13908.395,18.54,2.911,28.99
87,8.507933548,56.24883485,2.371067862,Midtjylland,Glaciofluvial,0.9124,14724.97,21,3.859,28.98
88,8.560815489,57.03741516,2.401400541,Nordjylland,Aeolian sand,0.9781,2762.743,22,1.887,28
89,8.642470696,57.06436271,2.290034611,Nordjylland,Aeolian sand,0.9698,5101.078,20.18,2.526,27
92,8.874824156,57.044871,2.416640507,Nordjylland,Aeolian sand,0.9549,5279.022,22,2.145,26
93,8.897732161,55.1432163,2.541579244,Syddanmark,Glaciofluvial,0.5267,13846.654,23.74,1.872,25.42
94,8.91187667,57.04493901,2.434568904,Nordjylland,Aeolian sand,0.8944,4416.361,22,2.536,26
95,8.916948894,57.05073517,2.359835482,Nordjylland,Aeolian sand,0.9423,5349.823,26.64,2.536,25.77
96,8.929984696,57.05433542,2.556302501,Nordjylland,Aeolian sand,0.7506,5004.952,23.21,1.928,26
97,8.935220188,55.17319834,2.392696953,Syddanmark,Aeolian sand,0.9427,15763.698,14,2.11,25.51
98,8.949862276,55.18478471,2.324282455,Syddanmark,Glaciofluvial,0.9309,16857.217,20.9,1.995,25
99,8.950998317,55.20709468,2.489958479,Syddanmark,Glaciofluvial,0.9482,17434.049,26,2.332,25
100,8.951189918,57.14458777,2.376576957,Nordjylland,Beach ridges,0.9701,352,18,1.027,25.23
101,8.959030055,55.01130816,2.5132176,Syddanmark,Clayey Till,0.831,12149.549,26,2.105,25
102,8.974026422,55.01528364,2.545307116,Syddanmark,Aeolian sand,0.9311,12238.455,26,2.121,25
103,8.984554332,55.01777035,2.436162647,Syddanmark,Freshwater deposits,0.6415,13387.271,26,2.007,25
104,9.05938754,55.29300077,2.390935107,Syddanmark,Clayey Till,0.3863,24663.057,40,2.275,24
105,9.067590023,55.2925393,2.540329475,Syddanmark,Glaciofluvial,0.3863,25642.822,40,2.653,24
106,9.358896311,56.10335589,2.264817823,Midtjylland,Downwash sandy deposits,0.9757,41485.539,29.51,2.28,22
