Fri. Sep. 18, 2020             LANDSAT 5                 Time: 19:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 196 / 021

L0R Reference Image: L51KIS1084116090100_HDF.202180312
Acquisition Date: Apr 25, 1984

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
194   021   08-03-1999
195   021   05-08-2000, 07-23-2013
195   022   05-08-2000, 03-20-2014
196   020   05-15-2000, 03-11-2014
196   021   05-15-2000, 03-11-2014
196   022   05-15-2000, 03-11-2014
197   020   05-09-2001, 04-03-2014
197   021   05-09-2001, 04-06-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1960210117_01   55.685008   11.587934    43.200      -2.827    -5.757    -1.389    -6.260
1960210129_01   56.351411    9.615098    65.674      -7.332     3.584    -7.966     1.758
1960210134_01   55.841086    9.034536    90.414      -5.472     6.563    -6.864     5.084
1960210135_01   55.584120    9.271325   100.307       0.597    -2.486     1.167    -2.274
1960210138_01   55.177509    9.642091    10.680       5.408     1.022     5.010     2.271
1960210139_01   55.382952   10.373697    51.842      -4.465     0.014    -4.340    -1.042
1960210141_01   56.083999    9.427145   119.640      -6.864     4.687    -7.771     2.937
1960210147_01   56.417093   10.369606    69.805      -5.251     0.443    -5.206    -0.803
1960210156_01   55.287935    9.717098    46.779       3.529    -6.375     4.935    -5.356
1960210158_01   55.568305    9.430287    64.455      -5.690    -1.107    -5.265    -2.418
1960210164_01   56.476496    9.404388    92.728       6.594    -4.937     7.566    -3.247
1960210165_01   56.133879    9.548474    90.435       0.885     3.445     0.048     3.554
1960210167_01   55.718162    9.044526    94.790      -4.192    -1.082    -3.816    -2.039
1960210170_01   56.170970    9.514288    67.344       0.266    -4.666     1.358    -4.469
1960210181_01   55.296842    9.802774    32.680       4.681    -0.650     4.700     0.475
1960210185_01   55.325966    9.795868    32.473       5.458    -4.900     6.460    -3.468
1960210201_01   55.993897    8.989980    70.012      -2.536    -0.661    -2.308    -1.240
1960210204_01   56.170898    9.064454    98.775      -5.485    -0.328    -5.250    -1.608
1960210205_01   55.431953    9.795117    60.573       1.757    -5.655     3.043    -5.077
1960210211_01   55.682340    8.777273    72.188      -1.957     4.979    -3.077     4.375
1960210221_01   55.133708   10.113622    27.855       4.942     6.171     3.339     7.162
1960210223_01   55.882627    8.887445    84.953      -3.719    -4.139    -2.635    -4.896
1960210229_01   55.478144   10.459629    46.126       1.332    -0.911     1.509    -0.570
1960210231_01   56.163501    9.352301   117.714      -5.188    -2.968    -4.340    -4.103
1960210233_01   56.024642    9.362934   113.107      -3.940     3.152    -4.570     2.133
1960210239_01   55.293506   10.854921    46.883      -1.713     3.169    -2.412     2.673
1960210242_01   56.219300    9.323707   118.102       6.886    -0.064     6.703     1.557
1960210245_01   56.194379   10.215051    90.743       0.441     2.480    -0.156     2.513
1960210248_01   56.173265   10.168002   136.780      -0.183    -0.953     0.047    -0.968
1960210251_01   55.632609   11.434751    83.420      -2.444    -0.452    -2.267    -1.016
1960210260_01   55.245985   11.271785    55.057       6.156    -1.449     6.322     0.050
1960210261_01   55.811023   11.579594    86.325       3.351     4.273     2.248     4.942
1960210263_01   55.132594   10.036607    42.236      -1.895     2.681    -2.475     2.155
1960210265_01   55.609014    9.096699   108.862      -7.539     4.320    -8.342     2.417
1960210268_01   55.944922    9.234913   104.550       5.241     5.251     3.852     6.334
1960210271_01   56.299686    9.651624    68.738       0.354     6.192    -1.114     6.098
1960210272_01   55.932725    8.794178    73.436       7.015     5.978     5.402     7.458
1960210276_01   55.884449   11.526277    56.419      -4.628    -6.280    -3.017    -7.193
1960210279_01   56.404794   10.876703    30.228       1.772     5.144     0.513     5.414
1960210282_01   55.857782    9.069644    99.172      -0.493    -4.843     0.664    -4.820
1960210296_01   55.479130    9.715366    29.980      -3.842    -5.758    -2.371    -6.500
1960210299_01   55.605343    9.134910   108.829      -0.528    -4.628     0.580    -4.620
1960210316_01   55.998944    9.115066    83.387      -4.610     0.501    -4.596    -0.599
1960210318_01   55.135163    9.977392    50.969       2.997     1.652     2.520     2.313
1960210323_01   55.960066    8.855107    71.138       0.373    -1.983     0.829    -1.838
1960210324_01   55.608350   10.190202    41.427      -5.791     2.664    -6.254     1.221
1960210325_01   56.403702    9.181937    96.331      -0.403     1.833    -0.823     1.686
1960210326_01   56.438638    9.691053   104.418      -5.319     3.488    -5.987     2.139
1960210327_01   56.171483    9.470352   122.042      -4.922     0.084    -4.800    -1.076
1960210328_01   56.171588   10.199329   100.192       3.439     0.652     3.187     1.442
1960210334_01   56.356217   10.505253    38.208      -6.135     1.732    -6.368     0.240
1960210337_01   56.639967    9.817088    34.564      -1.131    -1.133    -0.833    -1.366
1960210339_01   56.014104    8.971739   101.865      -1.211     0.626    -1.324     0.323
1960210342_01   56.239637    9.310788   113.002      -4.807     2.516    -5.262     1.313
1960210345_01   56.700896    9.238442    85.518      -5.679    -1.584    -5.144    -2.871
1960210361_01   55.831397    8.751527    66.925       2.399    -0.289     2.398     0.284
1960210365_01   56.077656    9.777568    82.247       3.822     0.633     3.563     1.514
1960210367_01   55.715501    8.974341   111.535       2.075    -2.536     2.614    -1.973
1960210368_01   56.072978    8.871014   120.557       2.273    -5.922     3.603    -5.217
1960210370_01   55.498502    9.624688    42.996      -1.960    -6.497    -0.368    -6.772
1960210371_01   56.604922    9.714249    60.480      -2.932    -2.871    -2.173    -3.478
1960210372_01   55.718668    8.931853    82.448      -1.111    -4.360    -0.049    -4.496
1960210373_01   56.199283   10.672241    44.922      -1.656     2.669    -2.237     2.204
1960210374_01   55.404655   10.382950    52.282      -1.058     1.263    -1.326     0.977
1960210377_01   55.030600   10.709430    65.478      -3.033    -1.427    -2.607    -2.104
1960210380_01   56.209184    9.693697    87.384      -3.926    -1.166    -3.540    -2.056
1960210381_01   56.202164   10.349769    48.298      -5.904    -0.728    -5.564    -2.097
1960210382_01   55.404699   10.300606    53.247      -1.289    -4.387    -0.216    -4.565
1960210387_01   55.653377   11.292519    35.132      -1.745    -0.744    -1.519    -1.134
1960210388_01   55.238550    9.446835    45.353      -1.144    -2.807    -0.447    -2.996
1960210404_01   55.779112   11.611940    50.752      -0.458     0.100    -0.468    -0.011
1960210410_01   55.163740   10.943522    35.611      -4.432    -4.474    -3.246    -5.394
1960210427_01   56.193519   11.714021    52.120       5.066    -2.384     5.483    -1.123
1960210431_01   56.202840   11.682794    60.545       4.394    -0.645     4.422     0.408
1960210436_01   55.969790    9.891962   141.743      -5.349    -2.818    -4.531    -3.996
1960210443_01   56.265070   10.698026    24.806      -0.324    -1.854     0.122    -1.877
1960210445_01   56.061071    8.869234   109.901       0.390    -1.980     0.845    -1.831
1960210447_01   55.402309   10.127860   140.660       0.768     6.082    -0.691     6.088
1960210448_01   55.115106   10.675310   105.820      -0.580    -1.217    -0.275    -1.320
1960210449_01   56.565814    9.324424    48.830      -5.148     2.337    -5.551     1.062
1960210455_01   55.665368    9.173912   107.727      -1.237     2.178    -1.716     1.823
1960210456_01   56.214040   10.519189   104.934      -7.583     6.257    -8.838     4.294
1960210459_01   55.699525   11.101258    42.281      -7.538     1.075    -7.576    -0.736
1960210470_01   56.076569    9.670714   180.182      -1.612    -6.930     0.067    -7.110
1960210481_01   56.020075    9.397849   127.363      -3.222     4.660    -4.227     3.767
1960210482_01   56.670352   10.087519    71.202      -7.061    -0.920    -6.644    -2.551
1960210483_01   56.499739   10.609004    77.476      -0.715    -6.078     0.733    -6.073
1960210486_01   56.241889   10.576932    75.365      -3.521     4.211    -4.411     3.263
1960210487_01   55.975717    9.011406    88.451      -4.095    -1.348    -3.660    -2.274
1960210493_01   55.334892    9.304993    81.813      -0.422    -4.813     0.728    -4.773
1960210498_01   55.374087   10.087810    86.402      -3.281     3.126    -3.925     2.260
1960210500_01   56.390839    9.355970    48.004       4.504    -2.303     4.916    -1.180
1960210501_01   55.887913    9.918818    61.201       0.407    -5.910     1.788    -5.644
1960210504_01   55.799825   11.557018    89.315      -7.420    -0.675    -7.049    -2.407
1960210506_01   55.652738   11.388606    81.040       6.697    -3.627     7.361    -1.941
1960210509_01   55.832137   11.453189   121.874       3.980     1.956     3.406     2.839
1960210514_01   55.030155   10.716325    55.474      -2.799     1.125    -2.984     0.429
1960210515_01   56.077549    9.636036   145.363      -5.549     5.058    -6.581     3.606
1960210517_01   55.466698   10.442908    49.654      -5.677    -5.230    -4.278    -6.420
1960210519_01   56.145515   10.505364    31.587      -0.708    -0.117    -0.661    -0.281
1960210520_01   55.798054    9.085498    96.067      -0.860    -1.454    -0.492    -1.615
1960210521_01   55.912194   11.710363    41.843      -1.377     0.067    -1.353    -0.260
1960210528_01   56.392366    9.069303    92.356       6.445     5.415     4.985     6.774
1960210529_01   56.373401    9.330084    55.010       3.687     4.999     2.405     5.722
1960210532_01   56.649474    9.939639    43.086       4.368    -0.688     4.405     0.357
1960210536_01   56.135344    9.620097    75.910       5.544    -5.044     6.573    -3.595
1960210538_01   55.619573   11.318469    48.892       2.150     2.539     1.490     2.974
1960210540_01   55.509444    9.349013    70.282      -4.348    -0.092    -4.201    -1.116
1960210542_01   56.187239    9.643653    64.822       0.701     0.382     0.591     0.536
1960210543_01   56.074945    9.434531   130.576      -3.870     0.540    -3.886    -0.387
1960210544_01   55.664055    9.287437    57.076      -5.333     0.204    -5.228    -1.060
1960210545_01   56.742060   10.057196    65.231      -2.038    -4.790    -0.856    -5.132
1960210546_01   56.133566    9.391274   159.722      -2.588    -1.292    -2.209    -1.864
1960210548_01   55.637345    9.295801    91.787      -4.056     5.687    -5.282     4.566
1960210549_01   55.935058    9.355197    96.036       4.456    -1.554     4.694    -0.460
1960210554_01   56.222604    9.008490    78.941       5.118    -1.545     5.334    -0.298
1960210556_01   55.794205   11.645175    54.004       3.636    -0.297     3.603     0.570
1960210558_01   56.246229   10.718448    44.407       1.739    -0.281     1.756     0.136
1960210560_01   55.733203   10.904714    71.642      -0.675    -2.163    -0.145    -2.261
1960210561_01   55.707912   11.221528    40.820       3.545    -0.380     3.533     0.468
1960220027_01   55.077854   10.583159    89.570      -4.668    -0.951    -4.308    -2.028
1960220172_01   55.133697   10.113618    26.106       5.323     6.950     3.525     8.009
1960220346_01   55.132498   10.036615    54.022       6.629     0.696     6.273     2.244
1960220403_01   55.030586   10.709456    49.292      -2.697    -1.388    -2.290    -1.987
1960220409_01   55.185983   10.116672    39.479       2.400     1.950     1.870     2.461
1960220441_01   55.115124   10.675304    97.416       1.554     1.897     1.060     2.210
1960220453_01   55.133412   10.114198    30.645       5.615     2.493     4.863     3.750
1960220464_01   55.194256    9.691295    39.119       1.736     5.469     0.392     5.722
1960220491_01   55.335451    9.304125    82.664       2.244    -0.047     2.190     0.484
1960220502_01   55.267299    9.999902   115.888       3.908    -2.181     4.310    -1.194
1960220514_01   55.161801   10.768141    63.947      -0.387     1.996    -0.847     1.847
1970200008_01   56.800538    9.538523    89.172      -2.685     1.614    -2.988     0.938
1970200014_01   56.474949   10.067880    63.832       0.004    -2.001     0.474    -1.943
1970200035_01   56.479872   10.025117    87.600       2.379    -4.470     3.362    -3.783
1970200036_01   56.471066    9.410749    94.374       3.211     4.930     1.959     5.543
1970200069_01   56.721531   10.077052    93.954      -1.629     6.816    -3.183     6.240
1970200093_01   56.718058   10.016623    73.671      -6.406     4.781    -7.346     3.142
1970200111_01   56.638366    9.855775    97.738      -1.711    -1.562    -1.295    -1.919
1970200147_01   56.686701   10.263182    64.771       0.765    -3.051     1.459    -2.785
1970200155_01   56.648961    9.674850    80.720      -5.188     3.927    -5.963     2.598
1970200179_01   56.700046    9.266187    75.605      -6.237    -6.926    -4.431    -8.192
1970200186_01   56.690617    9.772697    90.495      -1.094    -1.015    -0.825    -1.243
1970200189_01   56.435387   10.365431    50.949      -0.668     2.387    -1.210     2.162
1970200195_01   56.626309    9.801178    63.235       1.640    -0.415     1.691    -0.018
1970200201_01   56.643960    9.536860    93.594      -3.638    -1.862    -3.097    -2.662
1970200211_01   56.567265    9.538277    87.879       7.734    -1.709     7.914     0.155
1970200221_01   56.582472    9.160379    92.207      -0.310     0.968    -0.529     0.867
1970200226_01   56.723778    9.981186    79.644      -5.750     2.793    -6.243     1.364
1970200234_01   56.669987    9.422708   114.019      -1.941     1.567    -2.254     1.066
1970200243_01   56.610459    9.294450    39.722       7.980     4.173     6.771     5.927
1970200245_01   56.727752    9.832200   117.469      -1.168    -2.316    -0.591    -2.524
1970200259_01   56.627355    9.198834    43.776       6.138    -1.551     6.327    -0.066
1970200267_01   56.609022    9.217737    87.886       0.843     6.371    -0.679     6.387
1970200271_01   56.658068    9.921233    94.922       2.082    -2.909     2.706    -2.338
1970200278_01   56.657417   10.049942    93.975      -7.815    -0.595    -7.452    -2.412
1970200279_01   56.746178    9.859035   117.504       1.039     6.732    -0.571     6.784
1970200280_01   56.382918   10.386889    64.107      -5.315     4.191    -6.149     2.822
1970200281_01   56.770796   10.065795    72.685      -7.073    -5.194    -5.653    -6.705
1970200351_01   56.853423    9.370139    81.479       3.439    -5.496     4.631    -4.534
1970200355_01   56.677138    9.735672    56.093       0.381    -6.789     1.965    -6.507
1970200361_01   56.480517    9.487844    65.165       0.368    -0.365     0.443    -0.268
1970200392_01   56.641666   10.356103    33.796       0.688    -1.001     0.903    -0.811
1970200424_01   56.742327   10.057208    64.328      -0.198    -4.969     0.974    -4.874
1970200440_01   56.649478    9.940128    41.593       1.587     1.087     1.286     1.429
1970200458_01   56.690850   10.150308    84.605       5.765     1.827     5.172     3.128
1970200484_01   56.692962   10.182208    46.863       6.390     1.465     5.864     2.923
1970200496_01   56.469151   10.273126    37.385       4.997     3.493     4.034     4.568
1970200497_01   56.682064   10.223482    70.416       2.758    -4.786     3.803    -4.002
1970200506_01   56.788823    9.278210    65.832       0.100    -2.140     0.599    -2.055
1970200512_01   56.760446   10.082751    50.359       2.187     0.808     1.935     1.298
1970210003_01   56.164920   10.128252   114.651       6.199    -4.789     7.148    -3.193
1970210004_01   55.725165    9.610129   116.565       2.774    -4.889     3.848    -4.094
1970210005_01   56.474933   10.067860    63.411       0.167    -2.048     0.643    -1.950
1970210007_01   55.727851    9.515480   108.021      -3.379     4.909    -4.440     3.971
1970210010_01   56.391935    9.896337    56.363       1.732    -1.749     2.093    -1.292
